CMB International Capital Limited,Ping An Securities (Hong Kong) Company Limited,1
CMB International Capital Limited,China International Capital Corporation Hong Kong Securities Limited,10
CMB International Capital Limited,SBI China Capital Financial Services Limited,1
CMB International Capital Limited,China Securities (International) Corporate Finance Company Limited,5
CMB International Capital Limited,Huatai Financial Holdings (Hong Kong) Limited,4
CMB International Capital Limited,BOCI Asia Limited,2
CMB International Capital Limited,Shenwan Hongyuan Securities (H.K.) Limited,2
CMB International Capital Limited,DBS Asia Capital Limited,2
CMB International Capital Limited,GF Securities (Hong Kong) Brokerage Limited,3
CMB International Capital Limited,CCB International Capital Limited,4
CMB International Capital Limited,China Galaxy International Securities (Hong Kong) Co. Limited,2
CMB International Capital Limited,Haitong International Securities Company Limited,1
CMB International Capital Limited,SPDB International Capital Limited,2
CMB International Capital Limited,CMBC Securities Company Limited,2
CMB International Capital Limited,Livermore Holdings Limited,1
CMB International Capital Limited,ICBC International Securities Limited,1
CMB International Capital Limited,SDICS International Securities (Hong Kong) Limited,1
CMB International Capital Limited,Yellow River Securities Limited,1
CMB International Capital Limited,UBS AG Hong Kong Branch,1
CMB International Capital Limited,Guotai Junan Securities (Hong Kong) Limited,2
CMB International Capital Limited,ABCI Capital Limited,2
CMB International Capital Limited,Deutsche Bank AG,1
CMB International Capital Limited,BNP Paribas Securities (Asia) Limited,1
CMB International Capital Limited,China Industrial Securities International Capital Limited,1
Ping An Securities (Hong Kong) Company Limited,CLSA Limited,1
Ping An Securities (Hong Kong) Company Limited,CMB International Capital Limited,1
Ping An Securities (Hong Kong) Company Limited,China International Capital Corporation Hong Kong Securities Limited,1
Ping An Securities (Hong Kong) Company Limited,GF Securities (Hong Kong) Brokerage Limited,1
China International Capital Corporation Hong Kong Securities Limited,CMB International Capital Limited,10
China International Capital Corporation Hong Kong Securities Limited,Orient Securities (Hong Kong) Limited,2
China International Capital Corporation Hong Kong Securities Limited,SPDB International Capital Limited,1
China International Capital Corporation Hong Kong Securities Limited,China Securities (International) Corporate Finance Company Limited,4
China International Capital Corporation Hong Kong Securities Limited,Huatai Financial Holdings (Hong Kong) Limited,12
China International Capital Corporation Hong Kong Securities Limited,CLSA Limited,19
China International Capital Corporation Hong Kong Securities Limited,DBS Asia Capital Limited,3
China International Capital Corporation Hong Kong Securities Limited,GF Securities (Hong Kong) Brokerage Limited,6
China International Capital Corporation Hong Kong Securities Limited,ABCI Capital Limited,3
China International Capital Corporation Hong Kong Securities Limited,BNP Paribas Securities (Asia) Limited,2
China International Capital Corporation Hong Kong Securities Limited,Morgan Stanley Asia Limited,1
China International Capital Corporation Hong Kong Securities Limited,ICBC International Securities Limited,1
China International Capital Corporation Hong Kong Securities Limited,Deutsche Bank AG,7
China International Capital Corporation Hong Kong Securities Limited,The Hongkong and Shanghai Banking Corporation Limited,3
China International Capital Corporation Hong Kong Securities Limited,China Merchants Securities (HK) Co. Limited,4
