ticker,company,company_cn,type,date,shares,price_hkd,size_hkdm,sponsors,others,prospectus_url
"1965","Landsea Green Life Service Company Limited","朗詩綠色生活服務有限公司","Global offering","25/06/2021","100000000","4.16","416","Haitong","BOCOM; CCB; China Industrial Securities; CITIC; CMB; CRIC Securities; Essence; Futu; Orient Securities; Sunfund; Maxa Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0625/2021062500057.pdf"
"1533","Lanzhou Zhuangyuan Pasture Co., Ltd.","蘭州莊園牧場股份有限公司","Global offering","30/09/2015","","","","GF Securities","","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0930/ltn20150930009.pdf"
"6181","Laopu Gold Co., Ltd.","老鋪黃金股份有限公司","Global offering","20/06/2024","19451300","40.5","787.77765","China Securities","CCB; BOCOM; Tiger Brokers","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0620/2024062000017.pdf"
"1683","LC Group Holdings Limited","良斯集團控股有限公司","Global offering","21/08/2015","125000000","1","125","Ample","Pacific Foundation Securities; CNI Securities Group; China Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0821/ltn20150821047.pdf"
"2490","LC Logistics, Inc.","樂艙樂艙物流股份有限公司物流股份有限公司","Global offering","13/09/2023","28390000","5.55","157.5645","CITIC; ABCI","Shenwan Hongyuan; CMB; SPDB; Guotai Junan; BOCOM; Livermore Holdings; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0913/2023091300017.pdf"
"1449","Leader Education Limited","立德教育有限公司","Global offering","27/07/2020","166667000","2.6","433.3342","Huatai","CMB; Victory Securities; CASH Financial Services Group; Goldbridge Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0727/2020072700005.pdf"
"6999","Leading Holdings Group Limited","領地控股集團有限公司","Global offering","26/11/2020","250000000","6","1500","CCB","CMB; BOCOM; Haitong; Guotai Junan; CRIC Securities; Yue Xiu; Sheng Yuan Securities; ABCI; China Galaxy; Maxa Capital; I Win Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1126/2020112600021.pdf"
"1499","LEAP Holdings Group Limited","前進控股集團有限公司","Global offering","20/08/2015","572000000","0.28","160.16000000000003","TC Capital Asia","CNI Securities Group","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0820/ltn201508201155.htm"
"1540","LEFT FIELD PRINTING GROUP LIMITED","澳獅環球集團有限公司","Global offering","20/09/2018","105000000","1.1","115.50000000000001","Optima Capital","VMS Securities; Aristo Securities; Kingston; Success Securities; Sun Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0920/ltn20180920021.pdf"
"3396","Legend Holdings Corporation","聯想控股股份有限公司","Global offering","16/06/2015","352944000","43","15176.592","Kong Securities; UBS","Goldman Sachs; Morgan Stanley; Bank of China; BOCOM; CITIC; CMB; Haitong; Guotai Junan; VMS Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0616/ltn20150616019.pdf"
"2129","Legion Consortium Limited","力臣控股有限公司","Global offering","30/12/2020","312500000","0.52","162.5","Ample","Alpha Financial Group; Elstone; AFG Securities; BOCOM; CIS Securities Asset Management; CMB; First Fidelity Capital (International); Get Nice Securities; Head & Shoulders Securities; Plutus Securities; Seazen Resources Securities; Sinomax Securities; Yuzhou Financial Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/1230/2020123000007.pdf"
"6613","Lens Technology Co., Ltd.","藍思科技股份有限公司","Global offering","30/06/2025","262256800","18.18","4767.828624","CITIC","Bank of America; ABCI; Bank of China; Futu","https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0630/2025063000031.pdf"
"2157","Lepu Biopharma Co., Ltd.","樂普生物科技股份有限公司","Global offering","10/02/2022","126876000","7.38","936.34488","CICC; Morgan Stanley","Haitong; Huatai; China Galaxy; Valuable Capital; Tiger Brokers","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0210/2022021000013.pdf"
"2291","LEPU ScienTech Medical Technology (Shanghai) Co., Ltd.","樂普心泰醫療科技（上海）股份有限公司","Global offering","27/10/2022","22455000","31.45","706.20975","CICC","CITIC; China Galaxy; Huatai; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1027/2022102700013.pdf"
"2540","Lesi Group Limited","樂思集團有限公司","Global offering","29/02/2024","125000000","1.5","187.5","China Sunrise","ABCI; Bank of China; BOCOM; CEB; China Galaxy; Orient Securities; Soochow; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0229/2024022900168.pdf"
"1346","Lever Style Corporation","利華控股集團","Global offering","31/10/2019","172800000","1.05","181.44","Altus Capital","Crosby Securities; China Tonghai; Shanxi Securities; CMB","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/1031/2019103100033.pdf"
"3938","LFG Investment Holdings Limited","投資控股有限公司","Global offering","17/09/2019","72000000","1.7","122.4","Lego; TUS Corporate Finance","Elstone; Kingsway; China Galaxy; Shanxi Securities; Excel Precise Securities; Bonus Eventus Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0917/2019091700005.pdf"
"1978","LH Group Limited","聯和飲食集團有限公司","Global offering","15/05/2018","200000000","1.3","260","CEB","Sinolink Securities; Celestial Capital; RHB Securities Hong Kong; Grand View Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0515/ltn20180515011.pdf"
"1730","LHN Limited","賢能集團有限公司","Global offering","15/12/2017","42000000","2.36","99.12","Fortune","Pacific Foundation Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2017/1215/ltn20171215029.pdf"
"2015","Li Auto Inc.","理想汽車控股有限公司","Global offering","03/08/2021","100000000","150","15000","Goldman Sachs; CICC","UBS; CITIC; Bank of China; CMB; Futu","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0803/2021080300011.pdf"
"2598","Lianlian DigiTech Co., Ltd.","連連數字科技股份有限公司","Global offering","20/03/2024","55920000","10.95","612.324","CICC","BNP Paribas; Deutsche Bank; ABCI; Caitong; China Galaxy; Futu; GF Securities; Guotai Junan; ICBC; Tiger Brokers; Zhongtai","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0320/2024032000031.pdf"
"2136","Lifestyle China Group Limited","利福中國集團有限公司","Global offering","30/06/2016","","","","BNP Paribas","","https://www1.hkexnews.hk/listedco/listconews/sehk/2016/0630/ltn20160630117.pdf"
"2165","Ling Yue Services Group Limited","領悅服務集團有限公司","Global offering","29/06/2021","70000000","4.55","318.5","CCB","CMB; Huatai; Seazen Resources Securities; Vision Capital International Holdings; Shenwan Hongyuan; I Win Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0629/2021062900045.pdf"
"784","Ling Yui Holdings Limited","凌銳控股有限公司","Global offering","13/12/2017","200000000","0.55","110.00000000000001","Frontpage Capital","China Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2017/1213/ltn20171213011.pdf"
"9959","Linklogis Inc.","聯易融科技集團","Global offering","26/03/2021","452878500","18.28","8278.618980000001","Goldman Sachs; CICC","Citi; China Renaissance; CITIC; Futu; Huajin Securities (International); CMB; CCB; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0326/2021032600037.pdf"
"9857","Linmon Media Limited","檸萌影視傳媒有限公司","Global offering","29/07/2022","15139300","33.3","504.13868999999994","Morgan Stanley; CICC","CMB; Futu; Livermore Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0729/2022072900015.pdf"
"9958","Litian Pictures Holdings Limited","力天影業控股有限公司","Global offering","10/06/2020","75000000","3.84","288","Founder Securities","ABCI; Guotai Junan; Haitong; Essence; Glory Sun Securities; CMB; Zhongtai; Shenwan Hongyuan; GF Securities; Zhongrong PT Securities; Bradbury Securities; Alliance Capital Partners; HTF Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0610/2020061000019.pdf"
"2482","Logory Logistics Technology Co., Ltd.","合肥维天运通信息科技股份有限公司","Global offering","27/02/2023","43211000","3.5","151.2385","Haitong","CITIC; Valuable Capital; SDHG International Securities; Sinomax Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0227/2023022700005.pdf"
"6063","Lotus Horizon Holdings Limited","智中國際控股有限公司","Global offering","30/03/2020","500000000","0.01","","Innovax","Sunfund; Sang Woo (Kirin) Securities; First Fidelity Capital (International); Realord Asia Pacific Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0330/2020033000055.pdf"
"6623","Lufax Holding Ltd","陆金所控股有限公司","Global offering","11/04/2023","","","","Morgan Stanley; UBS","Ping An of China Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0411/2023041100011.pdf"
"2376","Lushang Life Services Co., Ltd.","魯商生活服務股份有限公司","Global offering","27/06/2022","33340000","7.92","264.0528","ABCI","Zhongtai; CICC; GF Securities; CEB; Guotai Junan; CMB; Yue Xiu; Fortune; Eddid; Livermore Holdings; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/0627/2022062700017.pdf"
"2186","Luye Pharma Group Ltd.","绿叶制药集团有限公司","Global offering","26/06/2014","999640000","5.92","5917.8688","UBS; Citi; CITIC","","https://www1.hkexnews.hk/listedco/listconews/sehk/2014/0626/ltn20140626017.pdf"
"2451","Luyuan Group Holding (Cayman) Limited","綠源集團控股","Global offering","28/09/2023","106667000","8","853.336","China Securities","TFI Securities and Futures; ABCI; Guotai Junan; CMB; ICBC; SPDB; Daiwa; Valuable Capital; Livermore Holdings; Futu; SBI; China Galaxy","https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0928/2023092800027.pdf"
"1461","LUZHENG FUTURES Company Limited","魯証期貨股份有限公司","Global offering","23/06/2015","275000000","3.64","1001","Qilu; Haitong","CCB","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0623/ltn20150623009.pdf"
